ID,Zip_Code,Total_Population,Has?
1078,4217,2950,0
1079,4219,1625,0
1080,4220,2998,0
1081,4221,916,0
1082,4222,3910,0
1083,4224,2657,0
1084,4226,191,0
1085,4227,36,0
1086,4228,83,0
1087,4231,334,0
1088,4234,60,0
1089,4236,4354,0
1090,4237,179,0
1091,4238,1852,0
1092,4239,4684,0
1093,4240,36211,0
1094,4250,4189,0
1095,4252,4683,0
1096,4253,2073,0
1097,4254,3051,0
1098,4255,681,0
1099,4256,2954,0
1100,4257,2620,0
1101,4258,2589,0
1102,4259,3080,0
1103,4260,5679,0
1104,4261,391,0
1105,4263,2300,0
1106,4265,1117,0
1107,4267,29,0
1108,4268,4968,0
1109,4270,6677,0
1110,4271,0,0
1111,4274,5558,0
1112,4275,341,0
1113,4276,5730,0
1114,4280,6674,0
1115,4281,5148,0
1116,4282,5747,0
1117,4284,1003,0
1118,4285,398,0
1119,4286,112,0
1120,4287,3173,0
1121,4289,2116,0
1122,4290,1360,0
1123,4292,1069,0
1124,4294,4043,0
1125,4330,25626,1
1126,4342,1788,0
1127,4343,67,0
1128,4344,2828,0
1129,4345,11341,0
1130,4346,2011,0
1131,4347,2453,0
1132,4348,2935,0
1133,4349,1044,0
1134,4350,3611,0
1135,4351,2552,0
1136,4352,1590,0
1137,4353,2369,0
1138,4354,1483,0
1139,4355,2556,0
1140,4357,3358,0
1141,4358,4185,0
1142,4359,457,0
1143,4360,442,0
1144,4363,2561,0
1145,4364,5913,0
1146,4401,44578,1
1147,4406,650,0
1148,4408,172,0
1149,4410,1103,0
1150,4411,1478,0
1151,4412,9167,0
1152,4413,226,0
1153,4414,1209,0
1154,4415,264,0
1155,4416,5451,0
1156,4417,233,0
1157,4418,1544,0
1158,4419,2792,0
1159,4421,1276,0
1160,4422,1471,0
1161,4424,751,0
1162,4426,4574,0
1163,4427,2833,0
1164,4428,2868,0
1165,4429,4611,0
1166,4430,1804,0
1167,4431,19,0
1168,4434,1142,0
1169,4435,1061,0
1170,4438,983,0
1171,4441,1901,0
1172,4442,11,0
1173,4443,2347,0
1174,4444,8890,0
1175,4448,1454,0
1176,4449,1640,0
1177,4450,1149,0
1178,4451,195,0
1179,4453,699,0
1180,4454,20,0
1181,4455,946,0
1182,4456,2941,0
1183,4457,5845,0
1184,4459,894,0
1185,4460,1168,0
1186,4461,3002,0
1187,4462,4768,0
1188,4463,3002,0
1189,4464,583,0
1190,4468,9231,0
1191,4469,2590,0
1192,4471,628,0
1193,4472,2133,0
1194,4473,8324,0
1195,4474,3676,0
1196,4475,535,0
1197,4476,1214,0
1198,4478,298,0
1199,4479,1345,0
1200,4481,490,0
1201,4485,202,0
1202,4487,936,0
1203,4488,1459,0
1204,4489,325,0
1205,4490,262,0
1206,4491,141,0
1207,4492,168,0
1208,4493,1899,0
1209,4495,561,0
1210,4496,3871,0
1211,4497,319,0
1212,4530,10794,0
1213,4535,776,0
1214,4537,1993,0
1215,4538,1921,0
1216,4539,1104,0
1217,4541,43,0
1218,4543,2016,0
1219,4544,541,0
1220,4547,1035,0
1221,4548,922,0
1222,4551,820,0
1223,4553,1653,0
1224,4554,845,0
1225,4555,1714,0
1226,4556,1082,0
1227,4558,158,0
1228,4562,2198,0
1229,4563,1475,0
1230,4564,582,0
1231,4568,439,0
1232,4570,0,0
1233,4571,569,0
1234,4572,4996,0
1235,4573,561,0
1236,4574,1506,0
1237,4575,65,0
1238,4576,602,0
1239,4578,4397,0
1240,4579,3069,0
1241,4605,13821,0
1242,4606,1078,0
1243,4607,1116,0
1244,4609,5356,0
1245,4611,405,0
1246,4612,476,0
1247,4613,123,0
1248,4614,2589,0
1249,4616,857,0
1250,4617,798,0
1251,4619,3018,0
1252,4622,1185,0
1253,4623,932,0
1254,4624,196,0
1255,4625,72,0
1256,4626,534,0
1257,4627,1726,0
1258,4628,696,0
1259,4629,72,0
1260,4630,1488,0
1261,4631,1399,0
1262,4634,1830,0
1263,4635,45,0
1264,4637,151,0
1265,4640,2121,0
1266,4642,83,0
1267,4643,1016,0
1268,4644,0,0
1269,4645,27,0
1270,4646,71,0
1271,4648,696,0
1272,4649,1321,0
1273,4650,257,0
1274,4652,1748,0
1275,4653,493,0
1276,4654,3239,0
1277,4655,1092,0
1278,4657,297,0
1279,4658,1510,0
1280,4660,1109,0
1281,4662,488,0
1282,4664,1064,0
1283,4666,1194,0
1284,4667,1398,0
1285,4668,1604,0
1286,4669,183,0
1287,4671,527,0
1288,4673,183,0
1289,4674,430,0
1290,4675,242,0
1291,4676,997,0
1292,4677,372,0
1293,4679,1684,0
1294,4680,1228,0
1295,4681,1138,0
1296,4683,86,0
1297,4684,1605,0
1298,4685,488,0
1299,4686,89,0
1300,4691,338,0
1301,4693,456,0
1302,4694,2203,0
1303,4730,9777,0
1304,4732,1760,0
1305,4733,232,0
1306,4734,738,0
1307,4735,578,0
1308,4736,9290,0
1309,4739,875,0
1310,4740,1177,0
1311,4741,3,0
1312,4742,3367,0
1313,4743,4665,0
1314,4745,926,0
1315,4746,473,0
1316,4747,1391,0
1317,4750,2260,0
1318,4756,3264,0
1319,4757,2897,0
1320,4758,1405,0
1321,4760,679,0
1322,4761,498,0
1323,4762,607,0
1324,4763,738,0
1325,4764,56,0
1326,4765,1151,0
1327,4766,415,0
1328,4768,346,0
1329,4769,9246,0
1330,4772,806,0
1331,4773,610,0
1332,4774,508,0
1333,4776,1023,0
1334,4777,427,0
1335,4779,310,0
1336,4780,843,0
1337,4781,538,0
1338,4783,467,0
1339,4785,2193,0
1340,4786,2038,0
1341,4787,652,0
1342,4841,7204,0
1343,4843,4837,0
1344,4847,1522,0
1345,4848,759,0
1346,4849,3828,0
1347,4851,67,0
1348,4852,52,0
1349,4853,540,0
1350,4854,1559,0
1351,4855,229,0
1352,4856,3356,0
1353,4858,1431,0
1354,4859,800,0
1355,4860,1598,0
1356,4861,2767,0
1357,4862,3873,0
1358,4863,1168,0
1359,4864,4706,0
1360,4901,26671,0
1361,4910,1976,0
1362,4911,2102,0
1363,4912,952,0
1364,4915,8842,0
1365,4917,2801,0
1366,4918,349,0
1367,4920,1666,0
1368,4921,1646,0
1369,4922,1206,0
1370,4923,467,0
1371,4924,2354,0
1372,4925,105,0
1373,4926,81,0
1374,4927,3374,0
1375,4928,1918,0
1376,4929,901,0
1377,4930,4129,0
1378,4932,1272,0
1379,4933,24,0
1380,4936,191,0
1381,4937,6555,0
1382,4938,9687,0
1383,4939,1237,0
1384,4940,0,0
1385,4941,1544,0
1386,4942,1305,0
1387,4943,1680,0
1388,4944,57,0
1389,4945,950,0
1390,4947,1404,0
1391,4949,878,0
1392,4950,4726,0
1393,4951,968,0
