Zip_Code,Total_Population,Median_Income,num_of_fast_food,num_of_mex_restaurants,Labels,Brand,Address,City,State,Probability
1561,243,-666666666,,,0,,0,0,0,
1562,11856,65386,110,36,0,,0,0,0,60%
1564,8000,102500,87,34,0,,0,0,0,63%
1566,6006,95800,36,5,0,,0,0,0,62%
1568,7706,119115,179,76,0,,0,0,0,66%
1569,13864,94809,86,28,0,,0,0,0,62%
1570,16926,52107,16,168,0,,0,0,0,57%
1571,11637,64281,75,14,0,,0,0,0,59%
1581,18836,107604,200,98,1,Chipotle,1 Oak St,Westborough,MA,
1583,7639,73463,149,58,0,,0,0,0,61%
1585,4661,66317,41,7,0,,0,0,0,59%
1588,9864,66607,11,304,0,,0,0,0,58%
1590,9297,101315,153,57,0,,0,0,0,64%
1602,24166,64808,99,41,0,,0,0,0,59%
1603,19981,42259,111,42,0,,0,0,0,57%
1604,36772,50487,111,45,0,,0,0,0,58%
1605,28742,37703,87,38,0,,0,0,0,57%
1606,19375,65135,82,37,0,,0,0,0,59%
1607,8698,43500,48,20,0,,0,0,0,57%
1608,3371,20578,30,21,0,,0,0,0,55%
1609,20714,42903,91,38,0,,0,0,0,57%
1610,23438,31003,53,27,0,,0,0,0,56%
1611,2451,81830,88,35,0,,0,0,0,61%
1612,4845,95595,123,48,0,,0,0,0,63%
1701,32098,105940,188,105,1,Chipotle,1 Worcester Rd,Framingham,MA,
1702,39226,52746,184,95,0,,0,0,0,59%
1718,716,160750,29,19,0,,0,0,0,69%
1719,5546,101077,28,16,0,,0,0,0,62%
1720,22680,133075,167,86,0,,0,0,0,67%
1721,17478,120309,176,89,0,,0,0,0,66%
1730,14031,125208,587,414,1,Chipotle,301 Great Rd,Bedford,MA,
1731,2012,93276,54,25,0,,0,0,0,62%
1740,5167,151618,153,73,0,,0,0,0,69%
1741,5160,170703,41,18,0,,0,0,0,70%
1742,19383,137547,238,123,0,,0,0,0,68%
1745,501,123992,67,38,0,,0,0,0,65%
1746,14480,118933,177,88,0,,0,0,0,65%
1747,5955,101761,24,11,0,,0,0,0,62%
1748,16720,151357,188,86,0,,0,0,0,69%
1749,19843,83765,165,87,0,,0,0,0,62%
1752,39771,75418,175,93,1,Chipotle,237 Boston Post Rd W,Marlborough,MA,
1754,10560,95833,24,16,0,,0,0,0,62%
1756,5995,125816,96,33,0,,0,0,0,66%
1757,28694,75976,31,13,1,Chipotle,128 Medway Rd,Milford,MA,
1760,35715,106332,300,161,1,Chipotle,219 N Main St,Natick,MA,
1770,4302,170872,262,140,0,,0,0,0,72%
1772,9520,143375,57,24,0,,0,0,0,67%
1773,4791,153500,64,39,0,,0,0,0,68%
1775,7061,144766,32,19,0,,0,0,0,67%
1776,18697,170945,216,119,0,,0,0,0,71%
1778,13850,166548,279,156,0,,0,0,0,71%
1801,40375,84857,863,667,1,Chipotle,112 Commerce Way,Woburn,MA,
1803,26103,99254,653,477,1,Chipotle,110 Mall Rd,Burlington,MA,
1810,35375,143292,240,99,0,,0,0,0,68%
1821,32348,99881,305,174,0,,0,0,0,64%
1824,25961,115533,225,100,1,Chipotle,65 Drum Hill Rd,Chelmsford,MA,
1826,30948,86644,258,108,0,,0,0,0,63%
1827,3337,138700,153,68,0,,0,0,0,67%
1830,26524,61375,139,73,1,Chipotle,85 Plaistow Road,Haverhill,MA,
1832,23372,64238,57,28,0,,0,0,0,59%
1833,8569,113417,122,58,0,,0,0,0,64%
1834,6697,95031,26,14,0,,0,0,0,62%
1835,13047,77697,61,29,0,,0,0,0,60%
1840,5248,20596,50,21,0,,0,0,0,55%
1841,48295,38199,91,45,0,,0,0,0,56%
1843,25942,46629,72,37,0,,0,0,0,57%
1844,49587,73525,192,86,1,Chipotle,90 Pleasant Valley St,Methuen,MA,
1845,30170,105661,219,91,1,Chipotle,93 Turnpike St,North Andover,MA,
1850,16890,46102,42,16,0,,0,0,0,57%
1851,29849,52008,45,19,0,,0,0,0,58%
1852,34756,50911,81,35,0,,0,0,0,58%
1854,29561,40982,89,38,0,,0,0,0,57%
1860,6752,84417,29,18,0,,0,0,0,61%
1862,10676,93494,284,125,1,Chipotle,199 Boston Rd,Billerica,MA,
1863,9106,77055,78,31,0,,0,0,0,60%
1864,15598,124750,330,167,0,,0,0,0,67%
1867,24894,113553,109,40,1,Chipotle,46 Walkers Brook Dr,Reading,MA,
1876,30433,94817,280,119,0,,0,0,0,64%
1879,12305,101620,184,76,0,,0,0,0,64%
1880,26450,93337,111,52,0,,0,0,0,62%
1886,24087,138006,148,65,1,Chipotle,174 Littleton Rd,Westford,MA,
1887,23538,118549,305,147,0,,0,0,0,66%
1890,22579,152196,188,154,0,,0,0,0,69%
1901,1878,22057,21,20,0,,0,0,0,55%
1902,48218,42851,40,30,0,,0,0,0,57%
1904,17320,88395,155,110,0,,0,0,0,62%
1905,25590,57638,155,136,0,,0,0,0,59%
1906,28037,82188,178,149,1,Chipotle,444 Broadway,Saugus,MA,
1907,14758,105029,99,79,1,Chipotle,450 Paradise Rd,Swampscott,MA,
1908,3488,81384,102,79,0,,0,0,0,61%
1913,17218,78638,89,55,0,,0,0,0,61%
1915,41431,77893,184,120,1,Chipotle,55 Dodge St,Beverly,MA,
1921,8228,155034,190,86,0,,0,0,0,69%
1922,2812,87986,16,10,0,,0,0,0,61%
1923,27391,79795,88,51,0,,0,0,0,61%
1929,3687,109327,99,68,0,,0,0,0,64%
1930,29858,65348,41,41,0,,0,0,0,59%
1937,136,-666666666,20,143,0,,0,0,0,
1938,13810,80829,568,407,0,,0,0,0,64%
1940,13425,113509,123,58,0,,0,0,0,64%
1944,5327,105500,11,17,0,,0,0,0,63%
1945,20393,110025,97,70,0,,0,0,0,64%
1949,9656,107727,305,159,0,,0,0,0,65%
1950,17890,89887,55,35,0,,0,0,0,61%
1951,4152,90662,47,29,0,,0,0,0,62%
1952,9035,72900,56,36,0,,0,0,0,60%
1960,52313,65060,356,279,1,Chipotle,210 Andover St,Peabody,MA,
1966,7184,72015,9,13,0,,0,0,0,59%
1969,6232,89338,58,31,0,,0,0,0,61%
1970,42991,65476,277,248,0,,0,0,0,60%
1982,7991,112250,133,81,0,,0,0,0,64%
1983,6496,131387,23,862,0,,0,0,0,64%
1984,5179,96979,169,108,0,,0,0,0,63%
1985,4545,135882,21,13,0,,0,0,0,66%
2019,16929,95533,117,46,0,,0,0,0,62%
2021,22829,96583,333,169,0,,0,0,0,64%
2025,8393,140000,16,14,0,,0,0,0,66%
2026,25362,89451,101,55,1,Chipotle,176 Providence Hwy,Dedham,MA,
2030,5922,204018,520,368,0,,0,0,0,78%
2032,4410,120250,18,7,0,,0,0,0,64%
2035,17448,98199,176,65,0,,0,0,0,63%
2038,32843,111935,130,56,1,Chipotle,5 Franklin Village Dr,Franklin,MA,
2043,23047,125144,439,285,1,Chipotle,92 Derby St,Hingham,MA,
2045,10402,80584,526,425,0,,0,0,0,64%
2047,65,26953,,,0,,0,0,0,
2048,23678,111141,208,92,1,Chipotle,287 School St,Mansfield,MA,
2050,26032,92610,54,27,0,,0,0,0,61%
2052,12610,153847,13,5,0,,0,0,0,68%
2053,13162,115432,39,16,0,,0,0,0,64%
2054,8144,100230,15,12,0,,0,0,0,62%
2056,11388,139137,33,15,0,,0,0,0,66%
2061,10897,128563,122,63,0,,0,0,0,66%
2062,29121,87516,68,30,1,Chipotle,1415 Boston-Providence Highway,Norwood,MA,
2066,18042,114766,61,34,0,,0,0,0,64%
2067,18148,133229,214,86,0,,0,0,0,67%
2071,1572,115333,6,6,0,,0,0,0,64%
2072,28338,78343,242,101,0,,0,0,0,62%
2081,19358,105420,236,115,0,,0,0,0,64%
2090,15612,146042,800,544,1,Chipotle,217 University Ave,Westwood,MA,
2093,11597,107444,159,67,0,,0,0,0,64%
2108,4211,126224,260,203,1,Chipotle,283 Washington St,Boston,MA,
2109,4051,129716,204,168,0,,0,0,0,67%
2110,2270,108438,209,175,1,Chipotle,101 Summer St,Boston,MA,
2111,7452,39329,225,198,0,,0,0,0,58%
2113,7464,91212,74,52,0,,0,0,0,62%
2114,13247,89452,243,188,0,,0,0,0,63%
2115,29244,38759,445,375,0,,0,0,0,59%
2116,23215,103422,271,216,1,Chipotle,553 Boylston St,Boston,MA,
2118,27325,70575,429,361,0,,0,0,0,62%
2119,28152,30663,339,282,0,,0,0,0,58%
2120,15719,32243,393,334,0,,0,0,0,58%
2121,28479,27964,120,98,0,,0,0,0,56%
2122,24643,56024,859,699,0,,0,0,0,64%
2124,55074,50227,67,36,0,,0,0,0,57%
2125,35254,53382,209,186,1,Chipotle,27 District Avenue,Dorchester,MA,
2126,29141,50039,46,30,0,,0,0,0,57%
2127,37257,91597,615,544,0,,0,0,0,65%
2128,46655,52154,520,489,0,,0,0,0,61%
2129,18901,103834,398,374,0,,0,0,0,65%
2130,39435,84847,624,497,0,,0,0,0,65%
2131,32819,72127,61,42,0,,0,0,0,59%
2132,28505,93343,340,262,0,,0,0,0,64%
2134,18057,49938,293,275,0,,0,0,0,59%
2135,42644,61566,652,540,1,Chipotle,1924 Beacon St,Brighton,MA,
2136,33084,64877,145,80,0,,0,0,0,59%
2138,37668,87671,642,578,1,Chipotle,227 Alewife Brook Pkwy,Cambridge,MA,
2139,36979,91250,456,402,1,Chipotle,598 Massachusetts Ave,Cambridge,MA,
2140,19737,91596,159,140,0,,0,0,0,62%
2141,13664,77261,485,441,1,Chipotle,100 Cambridgeside Pl,Cambridge,MA,
2142,2929,120729,239,198,1,Chipotle,50 Broadway,Cambridge,MA,
2143,26773,90285,422,374,0,,0,0,0,64%
2144,24682,102033,149,137,1,Chipotle,274 Elm St,Somerville,MA,
2145,26430,68553,304,266,0,,0,0,0,61%
2148,61375,62283,454,393,0,,0,0,0,61%
2149,44993,57143,124,150,0,,0,0,0,58%
2150,39263,51875,149,170,0,,0,0,0,58%
2151,53873,53771,439,401,0,,0,0,0,60%
2152,18391,69928,318,295,0,,0,0,0,61%
2155,59779,86459,551,453,1,Chipotle,616 Fellsway,Medford,MA,
2163,2569,64000,40,29,0,,0,0,0,59%
2169,56541,67028,847,658,0,,0,0,0,65%
2170,19434,82159,55,20,0,,0,0,0,61%
2171,17849,78839,378,276,1,Chipotle,60 Newport Ave,Quincy,MA,
2176,28132,93434,214,192,0,,0,0,0,63%
2180,21967,90320,172,115,0,,0,0,0,62%
2184,37082,88993,109,44,1,Chipotle,250 Granite St,Braintree,MA,
2186,27527,126000,857,629,0,,0,0,0,72%
2188,15301,81040,99,47,0,,0,0,0,61%
